respondent_id,date_created,date_modified,company-type,company-activity,company-years,position,seniority,founder,experience,main-programming-language,contract-type,workmode,work-time,currency,income-in-currency,extra-income-in-currency,stocks,stock-type,max-title,english-level,city
12917761870,08/25/2021 11:18:10 AM,08/25/2021 11:49:44 AM,Empresa Colombiana con mercado global,"Servicio habilitado por tecnología (similar a domicilios.com, Uber, Tappsi, Bunny inc, Etsy, e-commerce)",5 - 10,Full Stack Developer/ Engineer,Senior (Avanzado),Sí,10 - 15 años,JavaScript,Otro,"Flexible (va a la oficina, pero puede trabajar desde casa cuando quiera)",50,Pesos,60000000,0,5,Sí - stock options,Pregrado,Básico (puede leer documentación y código en inglés),Manizales
12917780327,08/25/2021 11:07:43 AM,08/25/2021 11:43:33 AM,Empresa extranjera,"Servicio habilitado por tecnología (similar a domicilios.com, Uber, Tappsi, Bunny inc, Etsy, e-commerce)",Más de 10,QA / Tester Engineer,Mid (intermedio),No,3 - 5 años,Java,Contrato a término indefinido,"Remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un Café)",36,Pesos,92400000,9300000,0,No,Pregrado,Básico (puede leer documentación y código en inglés),Bello
12917803713,08/25/2021 11:33:08 AM,08/25/2021 11:43:11 AM,Empresa Colombiana con mercado latinoamericano,Consultoría y servicios de desarrollo de software a la medida,Más de 10,Software Engineer,Mid (intermedio),No,2+ años,Java,Contrato a término indefinido,"Remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un Café)",40,Pesos,28800000,17400000,0,No,Pregrado,Básico (puede leer documentación y código en inglés),Pasto
12917798258,08/25/2021 11:30:04 AM,08/25/2021 11:42:18 AM,Empresa Colombiana con mercado global,Consultoría y servicios de desarrollo de software a la medida,Más de 10,Backend Developer/ Engineer,Senior (Avanzado),No,5 - 10 años,C#,Contrato a término indefinido,"Remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un Café)",49,Pesos,29000000,3600000,0,No,Tecnólogo,Básico (puede leer documentación y código en inglés),Manizales
12917755864,08/25/2021 11:15:57 AM,08/25/2021 11:42:12 AM,Empresa Colombiana con mercado Colombiano,Consultoría y servicios de desarrollo de software a la medida,2 - 5,Software Engineer,Mid (intermedio),No,2+ años,Go,Contrato a término indefinido,"Teletrabajo (100% trabajo en casa, debido a que así lo indica el contrato)",48,Pesos,38400000,0,0,No,Pregrado,Avanzado (puede liderar una reunion de varias personas en ingles cómodamente),Manizales
12917795545,08/25/2021 11:29:59 AM,08/25/2021 11:41:01 AM,Empresa Colombiana con mercado Colombiano,"Servicio habilitado por tecnología (similar a domicilios.com, Uber, Tappsi, Bunny inc, Etsy, e-commerce)",2 - 5,Backend Developer/ Engineer,Junior (Principiante),No,1+ año,PHP,Contrato a término fijo,"Flexible (va a la oficina, pero puede trabajar desde casa cuando quiera)",40,Pesos,14400000,0,0,No,Pregrado,Intermedio (puede pasar una entrevista de programación en ingles cómodamente),Manizales
12917784594,08/25/2021 11:25:53 AM,08/25/2021 11:39:16 AM,Empresa Colombiana con mercado Colombiano,Consultoría y servicios de desarrollo de software a la medida,5 - 10,DevOps / Ingeniero de Infraestructura,Mid (intermedio),Sí,5 - 10 años,"Ninguno, porque soy mánager 😭",Contrato a término indefinido,"Teletrabajo (100% trabajo en casa, debido a que así lo indica el contrato)",48,Pesos,31200000,600000,0,Sí - dividendos,Tecnólogo,Ninguno,Medellín
12917714768,08/25/2021 11:03:11 AM,08/25/2021 11:37:44 AM,Empresa Colombiana con mercado EEUU,Otro,5 - 10,Software Engineer,Senior (Avanzado),No,5 - 10 años,Clojure,Contratista internacional,"Remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un Café)",40,Dólares,39600,0,0,No,Pregrado,Intermedio (puede pasar una entrevista de programación en ingles cómodamente),Manizales
12917780445,08/25/2021 11:24:13 AM,08/25/2021 11:37:41 AM,Empresa Colombiana con mercado Colombiano,Consultoría y servicios de desarrollo de software a la medida,Más de 10,Software Engineer,Mid (intermedio),No,3 - 5 años,JavaScript,Contrato a término indefinido,"Flexible (va a la oficina, pero puede trabajar desde casa cuando quiera)",45,Pesos,20000000,1000000,0,No,Tecnólogo,Intermedio (puede pasar una entrevista de programación en ingles cómodamente),Manizales
12917755760,08/25/2021 11:15:40 AM,08/25/2021 11:25:33 AM,Empresa Colombiana con mercado latinoamericano,"Servicio habilitado por tecnología (similar a domicilios.com, Uber, Tappsi, Bunny inc, Etsy, e-commerce)",Más de 10,Analyst / Analista,Senior (Avanzado),No,10 - 15 años,C#,Contrato a término indefinido,"Teletrabajo (100% trabajo en casa, debido a que así lo indica el contrato)",45,Pesos,66000000,2000000,0,No,Especialista,Intermedio (puede pasar una entrevista de programación en ingles cómodamente),Dosquebradas
