respondent_id,date_created,date_modified,company-type,company-activity,company-years,position,seniority,founder,experience,main-programming-language,contract-type,workmode,work-time,currency,income-in-currency,extra-income-in-currency,stocks,stock-type,max-title,english-level,city,min-experience,max-experience
12865685623,08/03/2021 3:42:26 PM,08/03/2021 4:06:24 PM,Extranjera,"Servicio habilitado por tecnología (similar a domicilios.com, Uber, Tappsi, Bunny inc, Etsy, e-commerce)",Más de 10,Analyst / Analista,Junior (Principiante),No,Menos de 1 año,Java,"Contrato a término fijo con empresa local, pero trabajo para empresa Extranjera",Flexible,40,Pesos,49200000.0,21712000,0,No,4,1,Barranquilla,0,0
12865723939,08/03/2021 3:57:56 PM,08/03/2021 4:05:55 PM,Extranjera,Consultoría y servicios de desarrollo de software a la medida,Más de 10,Developer/ Engineer,Mid (intermedio),No,1+ año,Python,Contrato a término indefinido,Flexible,40,Pesos,60000000.0,0,0,No,4,2,Bogotá,1,1
12865681580,08/03/2021 3:41:09 PM,08/03/2021 4:04:37 PM,Extranjera,"Servicio o producto de tecnología (similar a Dropbox, GitHub, Stripe, Heroku o hardware)",2 - 5,Mobile Developer,Mid (intermedio),No,5 - 10 años,Dart,Contrato a término indefinido,Remoto,40,Pesos,109200000.0,0,0,Sí - stock options,4,3,Bogotá,5,9
12865713686,08/03/2021 3:53:33 PM,08/03/2021 4:03:59 PM,Extranjera,"Servicio o producto de tecnología (similar a Dropbox, GitHub, Stripe, Heroku o hardware)",Más de 10,Software Engineer,Senior (Avanzado),No,10 - 15 años,Kotlin,Contrato a término indefinido,Flexible,40,Pesos,180000000.0,0,80000,Sí - rsus,4,3,Bogotá,10,14
12865715924,08/03/2021 3:54:41 PM,08/03/2021 4:03:54 PM,Colombiana con mercado global,Consultoría y servicios de desarrollo de software a la medida,Más de 10,Full Stack Developer/ Engineer,Mid (intermedio),No,Menos de 1 año,JavaScript,Contrato a término indefinido,Remoto,40,Pesos,118800000.0,18000000,0,No,4,3,Soledad,0,0
12865693300,08/03/2021 3:45:52 PM,08/03/2021 4:03:16 PM,Colombiana con mercado global,"Servicio o producto de tecnología (similar a Dropbox, GitHub, Stripe, Heroku o hardware)",1,Backend Developer/ Engineer,Senior (Avanzado),No,5 - 10 años,JavaScript,Contrato a término indefinido,Remoto,40,Pesos,180000000.0,0,0,No,4,3,Medellín,5,9
12865719609,08/03/2021 3:56:11 PM,08/03/2021 4:02:59 PM,Colombiana con mercado Colombiano,Consultoría y servicios de desarrollo de software a la medida,Más de 10,Full Stack Developer/ Engineer,Junior (Principiante),No,1+ año,JavaScript,Contrato a término indefinido,Remoto,40,Pesos,57000000.0,0,0,No,4,3,Soledad,1,1
12865694231,08/03/2021 3:44:23 PM,08/03/2021 4:00:56 PM,Colombiana con mercado global,Otro,Más de 10,Web Developer/ Engineer,Mid (intermedio),No,10 - 15 años,JavaScript,Contrato a término indefinido,Remoto,50,Pesos,3720000.0,0,0,No,5,1,Bogotá,10,14
12865710701,08/03/2021 3:52:05 PM,08/03/2021 3:59:29 PM,Colombiana con mercado global,Consultoría y servicios de desarrollo de software a la medida,Más de 10,DevOps / Ingeniero de Infraestructura,Mid (intermedio),No,2+ años,Python,Contrato a término indefinido,Remoto,48,Pesos,108000000.0,10800000,0,No,1,3,Barranquilla,2,2
12865699908,08/03/2021 3:48:31 PM,08/03/2021 3:58:51 PM,Colombiana con mercado latinoamericano,"Servicio habilitado por tecnología (similar a domicilios.com, Uber, Tappsi, Bunny inc, Etsy, e-commerce)",5 - 10,Software Engineer,Senior (Avanzado),No,5 - 10 años,JavaScript,Contrato a término indefinido,Remoto,40,Pesos,60000000.0,0,0,No,6,2,Barranquilla,5,9
12865705394,08/03/2021 3:50:43 PM,08/03/2021 3:58:50 PM,Colombiana con mercado EEUU,Consultoría y servicios de desarrollo de software a la medida,2 - 5,Backend Developer/ Engineer,Mid (intermedio),No,1+ año,JavaScript,Contrato a término indefinido,Remoto,40,Pesos,54000000.0,0,0,No,1,2,Barranquilla,1,1
12865658386,08/03/2021 2:58:14 PM,08/03/2021 3:57:55 PM,Colombiana con mercado latinoamericano,Consultoría y servicios de desarrollo de software a la medida,2 - 5,Software Engineer,Junior (Principiante),No,2+ años,TypeScript,Contrato a término indefinido,Remoto,45,Pesos,59962716.0,7000000,0,No,4,2,Medellín,2,2
12865699922,08/03/2021 3:48:31 PM,08/03/2021 3:56:47 PM,Colombiana con mercado global,Consultoría y servicios de desarrollo de software a la medida,5 - 10,Software Engineer,Senior (Avanzado),No,3 - 5 años,Python,"Contrato a término indefinido con empresa local, pero trabajo para empresa Extranjera",Remoto,40,Pesos,27600000.0,2760000,0,No,1,2,Cali,3,4
12865692720,08/03/2021 3:45:24 PM,08/03/2021 3:56:30 PM,Extranjera,Consultoría y servicios de desarrollo de software a la medida,Más de 10,Backend Developer/ Engineer,Mid (intermedio),No,5 - 10 años,JavaScript,Contrato a término indefinido,Remoto,48,Pesos,65680000.0,0,0,No,4,1,Bogotá,5,9
12865689560,08/03/2021 3:43:58 PM,08/03/2021 3:54:48 PM,Colombiana con mercado Colombiano,"Servicio no tecnológico (banca, seguros, contabilidad, etc)",Más de 10,Developer/ Engineer,Senior (Avanzado),No,3 - 5 años,PHP,Contrato a término fijo,Remoto,45,Pesos,50700000.0,4225000,0,No,4,3,Bogotá,3,4
12865681590,08/03/2021 3:41:24 PM,08/03/2021 3:54:18 PM,Extranjera,Consultoría y servicios de desarrollo de software a la medida,Más de 10,Frontend Developer/ Engineer,Mid (intermedio),No,3 - 5 años,JavaScript,"Contrato a término indefinido con empresa local, pero trabajo para empresa Extranjera",Remoto,40,Pesos,74400000.0,0,0,No,3,2,Bogotá,3,4
12865694582,08/03/2021 3:46:19 PM,08/03/2021 3:53:49 PM,Extranjera,Consultoría y servicios de desarrollo de software a la medida,5 - 10,Software Engineer,Senior (Avanzado),No,5 - 10 años,Ruby,Contratista internacional,Remoto,40,Dólares,132000.0,40000,5000,Sí - rsus,4,3,Medellín,5,9
