index,issues,currency,experience,language,salary_1,salary_2
716,Unrealistic low COP salary: 3.1M,Pesos colombianos (COP),3.0,C#,,3126000.0
731,Unrealistic low COP salary: 1.4M,Pesos colombianos (COP),1.0,Python,,1423500.0
752,Unrealistic low COP salary: 4.4M,Pesos colombianos (COP),7.0,Ruby,,4400000.0
758,Unrealistic low USD salary: $4600.0,Dólares americanos (USD),5.0,Typescript,4600.0,
765,Unrealistic low COP salary: 9.0M,Pesos colombianos (COP),5.0,Javascript,,9000000.0
769,Unrealistic low COP salary: 7.2M,Pesos colombianos (COP),3.0,PHP,,7200000.0
772,Unrealistic low USD salary: $1800.0,Dólares americanos (USD),2.0,Typescript,1800.0,
780,Unrealistic low COP salary: 4.3M,Pesos colombianos (COP),4.0,Typescript,4300000.0,
782,Unrealistic low COP salary: 7.0M,Pesos colombianos (COP),9.0,Javascript,,7000000.0
807,Unrealistic low COP salary: 7.5M,Pesos colombianos (COP),6.0,Typescript,,7500000.0
817,Unrealistic low USD salary: $4000.0,Dólares americanos (USD),5.0,Typescript,4000.0,
822,Unrealistic low USD salary: $3500.0,Dólares americanos (USD),12.0,Typescript,3500.0,
832,Unrealistic low COP salary: 9.5M,Pesos colombianos (COP),6.0,Javascript,,9500000.0
836,Unrealistic low COP salary: 7.0M,Pesos colombianos (COP),8.0,PHP,,7000000.0
843,Unrealistic low COP salary: 6.0M,Pesos colombianos (COP),0.0,Java,6000000.0,
844,Unrealistic low COP salary: 2.6M,Pesos colombianos (COP),2.0,Typescript,,2600000.0
851,Unrealistic low COP salary: 8.0M,Pesos colombianos (COP),1.0,Python,,8000000.0
865,Unrealistic low COP salary: 4.7M,Pesos colombianos (COP),3.0,SQL,,4700000.0
903,Unrealistic low COP salary: 3.5M,Pesos colombianos (COP),3.0,Javascript,,3500000.0
904,Unrealistic low COP salary: 2.6M,Pesos colombianos (COP),4.0,Javascript,,2600000.0
905,Unrealistic low COP salary: 0.2M,Pesos colombianos (COP),1.0,Typescript,,160000.0
913,Unrealistic low USD salary: $44.4,Dólares americanos (USD),9.0,Javascript,44.4,
938,Unrealistic low COP salary: 7.0M,Pesos colombianos (COP),6.0,Javascript,7000000.0,
952,Unrealistic low COP salary: 9.5M,Pesos colombianos (COP),3.0,Python,,9500000.0
956,Unrealistic high USD salary: $156000000.0,Dólares americanos (USD),13.0,Javascript,156000000.0,
962,Unrealistic low USD salary: $3200.0,Dólares americanos (USD),15.0,Python,3200.0,
966,Unrealistic low COP salary: 4.1M,Pesos colombianos (COP),3.0,Typescript,,4132000.0
980,Unrealistic low COP salary: 4.6M,Pesos colombianos (COP),4.0,Javascript,4599000.0,
990,Unrealistic low USD salary: $3800.0,Dólares americanos (USD),21.0,Python,3800.0,
